20130131,20130228,20130328,20130430,20130531,20130628,20130731,20130830,20130930,20131031,20131129,20131231,20140131,20140228,20140331,20140430,20140530,20140630,20140731,20140829,20140930,20141031,20141128,20141231,20150130,20150227,20150331,20150430,20150529,20150630,20150731,20150831,20150930,20151030,20151130,20151231,20160129,20160229,20160331,20160429,20160531,20160630,20160729,20160831,20160930,20161031,20161130,20161230,20170731,20170831,20170929,20171031,20171130,20171229,20180131,20180228,20180329,20180430,20180531,20180629,20180731,20180831,20180928,20181031,20181130,20181231,20190131,20190228,20190329,20190430,20190531,20190628,20190731,20190830,20190930,20191031,20191129,20191231,20200131,20200228,20200331,20200430,20200529,20200630,20200731,20200831,20200930,20201030,20201130,20201231,20210129,20210226,20210331,20210430,20210531,20210630,20210730,20210831,20210930,20211029,20211130,20211231,20220131,20220228,20220331,20220429,20220531,20220630,20220729,20220831,20220930,20221031,20221130,20221230,20230131,20230228,20230331,20230428,20230531,20230630,20230731,20230831,20230929,20231031,20231130,20231229
T,WFC,MSFT,T,BRKB,JPM,JPM,JPM,JPM,PFE,PFE,BRKB,BRKB,BRKB,PG,PFE,MRK,VZ,MCD,VZ,VZ,VZ,CVX,PFE,CVX,VZ,VZ,CVX,VZ,VZ,PG,AMZN,AMZN,GOOGL,GOOGL,GOOGL,T,AMZN,GOOGL,WFC,WFC,JPM,GOOGL,WFC,PG,GOOG,T,WFC,WFC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,PFE,PFE,UNH,BAC,V,V,V,V,V,PG,XOM,V,PG,PG,PG,PG,PG,PG,PG,JPM,JPM,NVDA,NVDA,V,PG,V,V,V,V,V,NVDA,JNJ,JNJ,JNJ,JNJ,UNH,HD,JPM,UNH,JNJ,JNJ,FB,FB,META,XOM,NVDA,META,JPM,JPM,NVDA,JNJ,JPM,UNH,TSLA,XOM,XOM,JPM,XOM,UNH,LLY,LLY,JPM
JPM,MSFT,KO,BRKB,WFC,IBM,IBM,IBM,IBM,JPM,BRKB,PFE,PFE,PFE,PFE,VZ,GOOGL,PFE,CVX,PFE,PFE,PFE,PFE,VZ,VZ,CVX,CVX,PFE,CVX,T,AMZN,PG,PG,GOOG,GOOG,GOOG,GOOGL,GOOGL,GOOG,PG,GOOGL,PG,PG,PG,GOOGL,PG,GOOGL,GOOGL,BAC,PG,WFC,WFC,WFC,WFC,WFC,WFC,INTC,INTC,INTC,WFC,WFC,V,V,PFE,UNH,UNH,BAC,V,PG,BAC,PG,PG,PG,XOM,V,XOM,XOM,XOM,MA,MA,UNH,UNH,UNH,UNH,UNH,MA,HD,JPM,NVDA,PG,NVDA,DIS,UNH,UNH,UNH,V,V,UNH,V,JNJ,UNH,JNJ,JPM,JPM,JPM,PG,XOM,XOM,META,META,JPM,V,NVDA,PG,JPM,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JPM,LLY,XOM,JPM,UNH
BRKB,PM,GOOGL,JPM,PFE,T,PFE,PFE,PFE,T,T,IBM,IBM,VZ,VZ,IBM,BAC,T,ABBV,IBM,T,T,INTC,BAC,MRK,T,FB,T,T,CVX,FB,FB,PFE,PFE,T,PG,GOOG,GOOG,VZ,VZ,GOOG,WFC,GOOG,GOOGL,GOOG,T,GOOG,GOOG,T,T,T,PG,PG,T,CVX,INTC,WFC,CVX,CVX,CVX,V,UNH,PFE,UNH,BAC,VZ,PFE,PFE,BAC,PG,BAC,BAC,BAC,T,T,T,BAC,T,INTC,T,INTC,INTC,INTC,HD,HD,HD,MA,UNH,UNH,UNH,PG,NVDA,DIS,NVDA,V,UNH,UNH,V,UNH,HD,JNJ,HD,PG,PG,V,XOM,JPM,PG,V,JPM,NVDA,NVDA,PG,V,V,META,JPM,JPM,JPM,JPM,XOM,LLY,JPM,JPM,XOM,LLY
WFC,PG,CSCO,WFC,T,PFE,T,T,T,IBM,IBM,T,BAC,IBM,IBM,T,PG,IBM,AXP,T,BAC,BAC,T,INTC,T,KO,T,DIS,BAC,FB,VZ,VZ,GOOGL,PG,PG,T,JPM,JPM,PG,GOOGL,PG,PFE,VZ,GOOG,VZ,WFC,PG,PG,PG,WFC,PG,CVX,CVX,CVX,HD,V,T,UNH,WFC,V,UNH,WFC,UNH,V,V,V,PG,PG,VZ,CSCO,UNH,T,DIS,MA,HD,BAC,T,BAC,T,UNH,VZ,MA,HD,MA,MA,JPM,UNH,HD,HD,DIS,UNH,UNH,PG,HD,HD,PYPL,HD,PG,HD,V,PG,PG,HD,V,PG,V,PG,JPM,JPM,PG,PG,CVX,V,HD,PG,V,V,V,V,V,V,V,JNJ,V,AVGO,V
PM,KO,CMCSA,KO,C,KO,C,BAC,BAC,KO,BAC,BAC,T,BAC,T,MRK,KO,MRK,BRKB,MRK,IBM,GILD,BAC,T,KO,MRK,DIS,MRK,MRK,BAC,GOOGL,GOOGL,GOOG,T,PFE,PFE,VZ,VZ,JPM,GOOG,PFE,GOOGL,PFE,VZ,PFE,CVX,BAC,BAC,GE,GE,CVX,INTC,T,PG,T,T,CVX,V,V,UNH,CVX,PFE,T,VZ,VZ,PG,V,INTC,INTC,DIS,DIS,DIS,T,HD,VZ,HD,DIS,UNH,BAC,INTC,MA,HD,MA,INTC,NVDA,UNH,JPM,MA,MA,NVDA,DIS,MA,NVDA,DIS,PG,HD,PG,HD,PG,BAC,BAC,V,V,HD,XOM,JPM,V,V,PG,V,V,PG,CVX,TSLA,META,PG,PG,PG,PG,LLY,AVGO,JNJ,V,JNJ,V,XOM
KO,VZ,INCO,PM,KO,C,BAC,C,C,BAC,C,C,MRK,T,BAC,BAC,PM,GOOGL,AIG,INTC,INTC,INTC,KO,KO,INTC,BAC,MRK,BAC,DIS,DIS,BAC,GOOG,VZ,VZ,VZ,VZ,PFE,PFE,KO,PFE,VZ,GOOG,WFC,PFE,WFC,VZ,CVX,CVX,CVX,CVX,PFE,PFE,UNH,HD,UNH,CSCO,V,WFC,UNH,T,PFE,T,HD,WFC,WFC,BAC,VZ,VZ,CSCO,VZ,PFE,PFE,MA,BAC,BAC,INTC,UNH,MA,XOM,HD,T,VZ,VZ,NVDA,VZ,ADBE,VZ,VZ,DIS,MA,HD,PG,HD,MA,DIS,PG,MA,PYPL,BAC,PG,V,PFE,MA,XOM,CVX,HD,CVX,PFE,CVX,CVX,HD,HD,HD,CVX,HD,HD,MA,MA,LLY,AVGO,PG,AVGO,PG,PG,JNJ,JNJ
ORCL,WMT,MCD,VZ,PM,VZ,KO,KO,KO,C,KO,KO,C,MRK,MRK,KO,DIS,GOOG,MA,BAC,MRK,MRK,MRK,C,BAC,FB,BAC,FB,GILD,GILD,DIS,BAC,BAC,DIS,BAC,BAC,KO,KO,CVX,CVX,CVX,CVX,CVX,CVX,CVX,PFE,VZ,VZ,PFE,PFE,GE,T,PFE,INTC,INTC,UNH,PFE,PFE,HD,INTC,T,HD,CVX,T,PG,INTC,CVX,UNH,UNH,HD,CSCO,MA,CSCO,VZ,MA,VZ,MA,DIS,UNH,BAC,HD,T,T,VZ,PYPL,CRM,ADBE,DIS,PYPL,HD,MA,PYPL,MA,PG,BAC,MA,PYPL,DIS,DIS,ADBE,ADBE,BAC,BAC,BAC,HD,MA,HD,CVX,HD,HD,CVX,LLY,MA,MA,MA,MA,HD,LLY,AVGO,PG,LLY,PG,AVGO,AVGO,PG,MA
MRK,PEP,BRKB,MRK,BAC,PM,PM,MRK,PM,VZ,MRK,AMZN,KO,C,KO,GOOGL,PFE,BAC,PG,GILD,KO,KO,C,FB,FB,DIS,KO,C,FB,C,GOOG,C,DIS,BAC,DIS,CVX,CVX,HD,PFE,KO,KO,KO,HD,MRK,INTC,BAC,PFE,PFE,VZ,VZ,VZ,UNH,HD,VZ,V,PFE,HD,HD,PFE,HD,HD,CVX,WFC,PG,CVX,CVX,T,CSCO,PFE,INTC,MA,CVX,UNH,DIS,DIS,MA,INTC,INTC,DIS,VZ,MRK,PFE,NVDA,T,NFLX,VZ,PYPL,PYPL,VZ,PYPL,PYPL,HD,BAC,BAC,MA,DIS,DIS,ADBE,PYPL,DIS,PFE,MA,XOM,MA,MA,CVX,MA,HD,MA,MA,LLY,MA,LLY,LLY,CVX,CVX,CVX,HD,MA,MA,HD,MA,MA,MA,MA,HD
VZ,JPM,-,C,MRK,MRK,MRK,PM,MRK,PM,AMZN,MRK,CMCSA,KO,C,GGQ7,GILD,KO,GS,GOOGL,GOOGL,C,FB,MRK,GILD,INTC,GOOGL,AMZN,C,AMZN,C,DIS,KO,CVX,HD,KO,HD,CVX,HD,HD,HD,MRK,KO,INTC,MRK,INTC,MRK,INTC,CMCSA,CMCSA,C,V,INTC,PFE,PFE,HD,UNH,CSCO,CSCO,PFE,INTC,INTC,CSCO,INTC,INTC,T,INTC,BA,CVX,MA,VZ,VZ,HD,CVX,INTC,UNH,VZ,VZ,HD,XOM,PFE,MRK,DIS,ADBE,ADBE,PYPL,CRM,ADBE,ADBE,VZ,NFLX,BAC,PYPL,PYPL,PYPL,BAC,ADBE,BAC,MA,NFLX,NFLX,DIS,PFE,CVX,BAC,PFE,PFE,MA,PFE,PFE,PFE,PFE,ABBV,PFE,MRK,MRK,ABBV,CVX,HD,HD,MA,HD,HD,HD,HD,PG
C,CSCO,UTX,BAC,VZ,BAC,VZ,VZ,VZ,AMZN,VZ,VZ,VZ,ORCL,ORCL,C,T,INTC,VZ,GOOG,GOOG,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOG,KO,AMZN,MRK,GILD,GILD,C,KO,CVX,HD,BAC,DIS,INTC,DIS,MRK,HD,INTC,KO,KO,KO,CMCSA,C,C,UNH,HD,C,VZ,UNH,VZ,CVX,CSCO,VZ,T,VZ,VZ,CSCO,VZ,CVX,T,MRK,CSCO,CVX,T,CVX,T,CSCO,CVX,MRK,CVX,DIS,HD,HD,VZ,DIS,DIS,XOM,PFE,PYPL,PFE,DIS,DIS,CRM,CMCSA,ADBE,INTC,INTC,INTC,CMCSA,CMCSA,ADBE,BAC,MA,ADBE,MA,CRM,AVGO,DIS,DIS,PFE,ABBV,BAC,ABBV,LLY,KO,MA,ABBV,PFE,ABBV,LLY,ABBV,LLY,MRK,MRK,MRK,CVX,CVX,CVX,MRK,ADBE,COST
