20130131,20130228,20130328,20130430,20130531,20130628,20130731,20130830,20130930,20131031,20131129,20131231,20140131,20140228,20140331,20140430,20140530,20140630,20140731,20140829,20140930,20141031,20141128,20141231,20150130,20150227,20150331,20150430,20150529,20150630,20150731,20150831,20150930,20151030,20151130,20151231,20160129,20160229,20160331,20160429,20160531,20160630,20160729,20160831,20160930,20161031,20161130,20161230,20170731,20170831,20170929,20171031,20171130,20171229,20180131,20180228,20180329,20180430,20180531,20180629,20180731,20180831,20180928,20181031,20181130,20181231,20190131,20190228,20190329,20190430,20190531,20190628,20190731,20190830,20190930,20191031,20191129,20191231,20200131,20200228,20200331,20200430,20200529,20200630,20200731,20200831,20200930,20201030,20201130,20201231,20210129,20210226,20210331,20210430,20210531,20210630,20210730,20210831,20210930,20211029,20211130,20211231,20220131,20220228,20220331,20220429,20220531,20220630,20220729,20220831,20220930,20221031,20221130,20221230,20230131,20230228,20230331,20230428,20230531,20230630,20230731,20230831,20230929,20231031,20231130,20231229
ADP,ADM,ECL,VIAB,AG4,TMO,LOM,FCX,T3W1,ETN,NOV,CBS,AABA,SO,ACT,PCP,CMI,ADP,HP,APA,BAX,LYB,APC,ADP,AMT,ANTM,KMB,ADP,KMB,APC,SCHW,BLK,RAI,RAI,CTSH,COF,CAT,USD,DAL,RTN,NOC,FDX,NFLX,KMI,ITW,JCI,ADP,NOC,TJX,ATVI,CME,BDX,PRU,F,CSX,MET,MET,CTSH,INTU,AIG,AMAT,NSC,NSC,D,SO,BK,RTN,BK,BIIB,MMC,PGR,GD,APD,DE,KMB,AMAT,ICE,NOC,AMAT,BSX,DE,CB,NOC,TFC,GPN,SO,BSX,PGR,ITW,PNC,NSC,DUK,EL,FISV,MMC,COF,GM,CME,CI,CI,REGN,USB,ICE,EL,EOG,LRCX,CL,MU,EQIX,MU,TFC,PXD,AON,AON,TFC,EQIX,AON,NOC,EOG,CME,CSX,ITW,AON,HUM,DUK,ICE
VIAB,TGT,DD,APA,YUM,VIAB,STT,T3W1,YUM,LYB,YUM,VIAB,DTV,BK,ETN,FCX,LLY,GD,MDT,COV,AABA,AMT,BAX,BAX,TWC,YHOO,EMR,KMB,SO,PRU,AMT,ADBE,ANTM,AET,PYPL,RAI,AET,CI,GIS,NOC,PSX,PSA,HAL,ITW,BDX,NVDA,AMT,KMB,CI,BDX,ITW,PRU,USD,PRU,MET,CTSH,CTSH,SPGI,PSX,PSX,PX,BSX,VRTX,SPGI,NSC,NOC,EXC,USD,MU,MU,ILMN,RTN,SPG,GM,SCHW,VRTX,MU,BIIB,APD,NOC,GPN,ATVI,AMAT,USB,ITW,HUM,GE,NSC,NSC,FDX,VRTX,ICE,SO,MMC,BDX,ILMN,ADSK,CI,SHW,AON,AON,SO,CL,GM,D,CL,TFC,ATVI,USB,REGN,D,ITW,BSX,ETN,ITW,HUM,CL,HUM,KLAC,KLAC,SNPS,KLAC,PYPL,CDNS,BDX,ITW
KRFT,VTR,DELL,ETN,GIS,PA9,PA9,PCP,CB,CBS,LYB,CB,GD,GD,GD,ACT,MPC,FCX,JNPR,AMT,PX,BAX,DAL,PSX,BAX,CTSH,YHOO,AMT,CTSH,AMT,PRU,ANTM,REGN,PYPL,PRU,AVGO,COF,FDX,KR,ANTM,CTSH,SYK,BDX,NOC,NOC,AET,KMI,TGT,F,PRU,SYK,CME,F,TJX,MU,CI,COF,PSX,DE,SO,GM,EMR,SPGI,ILMN,CCI,SPGI,MPC,GD,GD,ITW,APD,ICE,EOG,KMB,AIG,ITW,APD,NOW,AMD,ICE,PGR,NEM,MS,ITW,GE,NSC,AMAT,USB,VRTX,VRTX,D,FDX,ITW,CL,SHW,CL,EW,FISV,CSX,NSC,EW,NSC,SHW,EOG,NSC,EQIX,SHW,EQIX,EL,TFC,CSX,ETN,CL,ITW,ETN,PNC,APD,CL,NOC,APD,APD,AON,ITW,KLAC,NOC,MO
GIS,CMI,BIIB,FCX,CB,STT,APA,KRFT,PA9,ITW,JCI,JCI,FCX,AABA,FCX,GD,NBL,TJX,DOW,PX,WMB,ALXN,PRU,AMT,ANTM,ACE,CTSH,AET,AMT,YUM,AET,PRU,DAL,ALXN,RAI,ACE,FDX,MCK,RTN,GIS,PSA,PSX,ITW,SCHW,GIS,COF,COF,KMI,ITW,KMB,PRU,KHC,KHC,SO,COF,CSX,ISRG,SO,CHTR,AMAT,NSC,COF,FOXA,SO,BK,VRTX,AGN,EXC,NOC,ECL,DE,SCHW,MU,USD,SPG,EW,PSX,ITW,SCHW,DE,AMAT,ECL,USB,BSX,ICE,SHW,GPN,FISV,ICE,D,FISV,TWTR,ICE,COF,FISV,ICE,SHW,REGN,SO,ADSK,ITW,BDX,EW,NOC,EQIX,TFC,SLB,HUM,WM,USB,AON,MU,ITW,EQIX,NOC,APD,CSX,APD,SLB,SNPS,ATVI,ICE,APD,AON,ITW,EOG
T3W1,DELL,BEN,TMO,STT,COV,FDX,STT,AABA,CB,ETN,LYB,CRM,VIAB,CBS,ETN,MET,ETN,AMG,TGT,AMT,WMB,ALXN,ACE,ALXN,KRFT,AAL,BAX,YUM,WMB,ADBE,APC,ALXN,FOXA,RTN,AET,DAL,EOG,COF,PSA,GIS,BDX,KMI,BDX,SCHW,HPE,JCI,CME,KMB,SYK,BDX,CSX,DE,COF,PRU,ISRG,GM,GM,MET,CTSH,CTSH,FOXA,VLO,NOC,ICE,AGN,NSC,MMC,AGN,ICE,AIG,MET,ICE,AON,GPN,DD,ITW,APD,AEP,ITW,PNC,ITW,ITW,ICE,PGR,NEM,CB,ICE,USB,NSC,APD,ADSK,APD,ITW,XTSLA,NSC,FISV,SO,FISV,BDX,NSC,CL,ITW,COF,F,NOC,FIS,EW,REGN,ATVI,BSX,WM,CME,CME,CME,MU,HUM,CSX,CL,NOC,SHW,ATVI,CDNS,APD,AON,BDX
EXC,ISRG,TGT,PRU,COV,NOV,CB,PA9,ITW,KRFT,PA9,DE,VIAB,ETN,VIAB,DE,MRO,TGT,TIF,FCX,MU,CRM,MU,PX,ACE,ADBE,KR,YUM,HAL,KMB,CTSH,ADP,KR,PRU,ACE,CI,CI,GIS,ANTM,CTSH,SCHW,MMC,SYK,YHOO,HPE,PRU,KMB,APC,ATVI,CCI,MU,BLKFDS,TJX,ATVI,D,SPG,CCI,HAL,AIG,PX,ILMN,AIG,DE,CCI,VRTX,ZTS,MET,ILMN,ILMN,AGN,MET,VRTX,AGN,EQIX,SLB,ECL,NSC,ICE,AON,EQIX,HUM,KMB,PNC,NEM,SHW,ADSK,DG,HUM,PNC,APD,USB,SO,MMC,SHW,SO,SHW,FDX,ADSK,AON,FIS,CI,ITW,NSC,REGN,VRTX,WM,PXD,LRCX,ATVI,HUM,MU,TFC,WM,CCI,FCX,AON,MPC,ICE,ITW,CL,AON,APD,ICE,ITW,SHW,CSX
PRU,HPQ,IP,PCP,VIAB,FDX,CBS,ETN,KRFT,GIS,DTV,ITW,DE,ALXN,AABA,CB,NKE,PCP,FOXA,NOV,APA,PX,ACE,MU,PX,BAX,AET,YHOO,PRU,ADBE,KR,CI,CI,ACE,DAL,RTN,ANTM,NOC,MCK,HAL,HAL,KR,YUM,YUM,YHOO,GIS,ITW,JCI,COF,F,MMC,CTSH,MU,MU,ISRG,D,SO,INTU,COF,DE,FOXA,CCI,EMR,ICE,SPGI,MPC,MMC,MU,PLD,ILMN,USD,PGR,AIG,LHX,MU,EQIX,EW,AMD,ITW,AON,ITW,ILMN,TFC,ECL,ADSK,KMB,MU,MMC,GPN,EL,DD,GPN,D,ICE,ITW,ADSK,SO,ETN,ICE,TMUS,FIS,ETN,D,CL,PGR,XTSLA,EW,EL,EW,LRCX,USB,AON,MPC,WM,CSX,TFC,ATVI,WM,HUM,ICE,ICE,CDNS,KLAC,CL,ICE,PYPL
ITW,MMC,SE,NOV,NOV,AMT,NOV,CB,DE,PA9,CBS,APA,A60,CRM,DE,APA,CI,YUM,NRG,AABA,CB,CB,PX,KRFT,PRU,USD,HAL,PRU,AVGO,REGN,YUM,USD,YUM,KR,KR,PRU,GIS,COF,NOC,CI,PRU,TRV,EMR,HAL,MCK,YHOO,HPE,ITW,CME,CME,CTSH,COF,ATVI,KHC,HAL,COF,D,PRU,SO,BSX,DE,VRTX,PSX,HUM,ZTS,NSC,ICE,ZTS,ECL,PGR,KMB,EXC,PGR,WM,NSC,NSC,SLB,NSC,EQIX,USD,BAX,PNC,SHW,DE,HUM,NOC,TFC,DG,MMC,SHW,FDX,MMC,ADSK,D,APD,EW,ICE,ICE,CL,COF,ETN,TMUS,EOG,D,NOC,PGR,EQIX,WM,FIS,F,DG,D,EQIX,MRNA,EL,CL,WM,HCA,TGT,WM,NOC,SHW,NOC,ICE,CL,USB
PCP,ECL,PSX,T3W1,ITW,LOM,ITW,ITW,CBS,DTV,ITW,NOV,CBS,FCX,KRFT,YUM,ESRX,KRFT,WAG,CB,NSC,CSX,CSX,ALXN,TRV,PX,BAX,DAL,REGN,SO,APC,DAL,PYPL,SCHW,FOXA,CTSH,NOC,CTSH,CI,EMR,BDX,CTSH,PSX,PSX,NVDA,ITW,CME,HPE,CTSH,ITW,KMB,TJX,CCI,CCI,KHC,EMR,PRU,COF,EMR,COF,D,MET,AIG,TGT,NOC,MET,PLD,MET,BK,FDX,GM,AON,MET,EW,GM,SCHW,DD,EQIX,DE,APD,TFC,COP,DG,KMB,KMB,EW,NEM,ADSK,EL,MMC,SHW,ITW,EQIX,EQIX,EQIX,SO,CL,ILMN,REGN,REGN,SO,APD,EQIX,AON,CHTR,AON,OXY,AON,AON,EQIX,ETN,DG,MU,USB,CCI,MMM,FCX,MMM,APD,CDNS,CDNS,CSX,MPC,MCK,CSX,NOC
ETN,BIIB,CMI,FDX,CBS,FCX,FCX,CBS,GIS,JCI,VIAB,DTV,ITW,JCI,YUM,KRFT,CB,AMT,FLS,PCP,PCP,MU,HAL,CSX,KR,DAL,DAL,ADBE,NFLX,BAX,ADP,SCHW,PRU,ANTM,AET,PSA,ALXN,ANTM,EMR,PRU,KR,ANTM,PSA,COF,COF,PSX,APC,PSX,CCI,CTSH,COF,CCI,ISRG,EMR,EMR,PRU,EMR,DE,F,CCI,BSX,DE,BK,PSX,HUM,MMC,FDX,PLD,FDX,APD,GD,AIG,KMB,NSC,EXC,APD,AON,PSX,KMB,NSC,ILMN,MS,KMB,DG,USB,GPN,ADSK,NEM,GM,ITW,ITW,EQIX,GPN,ADSK,ICE,FISV,HCA,ITW,ADSK,F,TMUS,REGN,REGN,EQIX,GM,NSC,WM,DG,FISV,AON,ATVI,CCI,TFC,ICE,MMM,MPC,ICE,ORLY,WM,HCA,CL,NOC,FDX,WM,PYPL,TGT
TMO,HES,CCI,ITW,LOM,ITW,COV,COV,DTV,AMT,STT,YUM,NOV,ITW,NOV,VIAB,ICE,NOV,EBAY,KRFT,FCX,ANTM,KRFT,TRV,HAL,PRU,ACE,CSX,ADBE,SCHW,CI,RAI,SCHW,RTN,VLO,ANTM,VLO,KMI,TRV,KR,SYK,AEP,HPE,CME,SYK,SYK,ANTM,BBT,MMC,MMC,CCI,DE,COF,PX,PX,CCI,F,PX,PX,D,MET,TGT,HUM,MU,EXC,KMB,MU,ITW,ICE,BIIB,AON,KMB,ITW,VRTX,LHX,SHW,EQIX,ILMN,ECL,SCHW,LHX,AMAT,NEM,NOC,TFC,FDX,KMB,LRCX,ECL,PGR,MMC,ADI,SHW,APD,ADSK,APD,ATVI,HCA,BSX,APD,APD,FIS,PGR,ATVI,CL,EL,ATVI,FIS,HUM,FISV,APD,USB,LRCX,EL,HUM,FCX,CCI,CDNS,ICE,TGT,FCX,CL,HUM,CSX,WM,WM
STT,BHI,ISRG,CBS,T3W1,CBS,8686,JCI,MCK,DE,GIS,AG4,APA,CB,CB,AABA,LO,MU,TXT,MU,SCHW,NSC,TRV,CRM,ITW,HAL,PRU,CTSH,YHOO,ADP,LYB,YUM,GIS,NOC,LYB,GIS,REGN,TRV,SCHW,ITW,ITW,KMI,CTSH,SYK,PSX,BDX,PSX,ANTM,ICE,VRTX,ICE,ISRG,PX,PSX,SPGI,SO,ICE,F,CTSH,MET,COF,D,MET,DE,MMC,HUM,HUM,FDX,ITW,MET,BIIB,BIIB,AMAT,SPG,AMAT,GM,SHW,EOG,LHX,ECL,MS,DE,DE,LRCX,NOC,ILMN,EW,EL,DG,EW,ADI,APD,COF,GPN,FCX,ITW,ITW,CL,ATVI,SO,MCO,AON,TMUS,SHW,EL,FIS,CHTR,CHTR,NSC,EL,EQIX,GM,USB,NSC,CL,CCI,SNPS,EL,ORLY,SHW,TGT,FDX,CSX,MPC,MCK,CL
LUMN,BEN,SWG,STT,FDX,8686,GD,GD,STT,STT,DE,PA9,AMT,COV,COV,NOV,BEN,CB,LLY,DAL,KRFT,TRV,WLP,SCHW,ADBE,ALXN,ADBE,PX,SCHW,CTSH,DAL,GIS,ACE,TRV,TRV,NOC,TRV,EMR,SYK,BDX,ANTM,CCI,CME,HPE,PRU,CME,BBT,SYK,SPGI,SPGI,SPGI,PX,MMC,SPGI,CTSH,MAR,INTU,ITW,ITW,EMR,CCI,CTSH,TGT,BK,MU,FDX,ITW,ICE,KMB,KMB,WM,ITW,BIIB,EXC,AEP,AEP,ILMN,EW,BIIB,KMB,AEP,BAX,EW,PGR,NSC,TFC,ECL,BSX,REGN,ADI,COP,D,ADI,BSX,D,ADI,BSX,AON,HCA,ETN,CL,KLAC,ETN,BSX,NEM,BSX,FISV,FDX,ETN,NSC,PXD,MPC,CCI,LRCX,MPC,ICE,EL,CMG,CMG,ATVI,FDX,MPC,SHW,ORLY,TGT,CMG
MPN,TXN,PPG,LOM,MPN,EXC,AMT,MCK,AMT,AABA,KRFT,STT,CB,YUM,APA,ITW,VFC,VIAB,COL,ALXN,CRM,DAL,ADBE,ADBE,CSX,LYB,SCHW,SCHW,CI,EMR,RAI,KR,RTN,GIS,PSA,TRV,PCP,ALXN,ITW,SYK,MMC,YUM,ANTM,MMC,CME,PX,GIS,GIS,KMI,COF,EMR,MMC,CTSH,HAL,CCI,PX,MMC,D,HAL,VRTX,EMR,HUM,PX,ZTS,MET,ITW,ZTS,AGN,EMR,OXY,VRTX,WM,LHX,SCHW,ITW,SPG,COF,AON,WM,ATVI,EW,EW,NSC,SHW,EW,DG,EL,PNC,XTSLA,HUM,EL,SHW,PGR,EW,ADI,BSX,APD,FDX,ETN,ITW,COF,WM,FISV,NSC,BSX,FCX,ITW,NSC,ITW,BSX,EW,GD,NSC,TFC,MRNA,WM,CDNS,SNPS,ATVI,F,MMM,HUM,MCK,PYPL,CMG,PNC
8686,ADBE,WAG,WMB,EXC,GD,MCK,AMT,GD,8686,COV,KRFT,JCI,NOV,GIS,GIS,MHFI,ADBE,EMC,ITW,ADM,KRFT,WMB,PCP,CRM,TRV,ALXN,ACE,BAX,HAL,HAL,LYB,FOXA,LYB,NOC,VLO,FOXA,FOXA,YUM,SCHW,ALXN,ITW,EXC,PRU,EMR,MMC,EMR,DAL,BBT,ICE,DE,EMR,SPGI,KMB,SO,BBT,PX,ESRX,CCI,ESRX,VRTX,CI,CCI,VRTX,MPC,ECL,ILMN,ECL,PGR,EMR,AEP,TGT,WM,AIG,PSX,AIG,KMB,HUM,PGR,AEP,REGN,PGR,ADSK,ADI,DG,MU,USB,GPN,HUM,ILMN,GPN,BSX,ILMN,PGR,BSX,D,NSC,BSX,ILMN,MCO,KLAC,D,COF,PGR,ATVI,ATVI,EL,SHW,BSX,PXD,SLB,MCK,ICE,EMR,ICE,EL,MMM,ATVI,HCA,CMG,WM,WM,CL,PXD,HUM,FCX
MCK,DC7,MX4A,MPN,MCK,MCK,GM,8686,8686,YUM,8686,GD,COV,KRFT,AMT,AMT,PPL,ITW,AES,SCHW,ANTM,ITW,ITW,ITW,CTSH,ITW,PX,AAL,KR,KR,ACE,HAL,AVGO,CI,CI,BDX,PRU,SYK,EXC,FOXA,DAL,EMR,COF,PX,MMC,EMR,DAL,EMR,EMR,EMR,BSX,SPGI,KMB,ESRX,MAR,ICE,VRTX,EMR,NSC,EA,ESRX,GM,D,EMR,COF,EMR,EMR,MPC,TGT,BK,ITW,AEP,AON,AMAT,AON,LHX,ECL,ECL,SLB,LHX,ECL,DG,COP,COP,AON,USB,NOC,ECL,EW,ECL,REGN,VRTX,NXPI,XTSLA,EW,ETN,ETN,ATVI,ITW,CL,WM,XTSLA,APD,ITW,WM,FISV,AON,APD,OXY,ICE,ITW,APD,MRNA,SHW,XTSLA,GM,HCA,MPC,SHW,FDX,NXPI,TGT,ABNB,SHW,APD,MCO
CBS,SE,SO,8686,8686,GM,JCI,CRM,CRM,-,AMT,GIS,KRFT,DE,CRM,COV,M,JCI,EOG,CRM,ALXN,XTSLA,NSC,ANTM,LYB,YUM,LYB,WMB,PX,PX,WMB,ACE,PCP,APC,GIS,BRCM,ICE,BDX,KMI,PX,TRV,EXC,MMC,CTSH,APC,APC,BDX,BDX,VRTX,REGN,PX,BBT,ICE,CTSH,ESRX,ESRX,MAR,ICE,ESRX,F,ITW,USD,COF,MMC,ITW,PLD,PSX,EMR,APD,COF,TGT,MU,EW,AEP,EW,KMB,SPG,SHW,COF,WM,AON,NSC,AON,NSC,ECL,EL,LRCX,KMB,ADI,GM,EW,COF,VRTX,HUM,ILMN,MCO,ADI,EMR,D,WM,NXPI,MCO,VRTX,ETN,FIS,NEM,MPC,BSX,SHW,EW,ICE,LRCX,GM,GD,WM,SNPS,KLAC,SHW,MMM,MCK,HUM,ORLY,WM,FDX,MPC,APD
VLO,IP,S,CSX,CSX,LYB,AG4,LYB,JCI,COV,GD,AMT,ALXN,AMT,SCHW,TRV,TXN,DE,WYND,ADBE,NOV,ADBE,CRM,NSC,AET,AET,TRV,ALXN,DAL,YHOO,GIS,AVGO,CME,PSA,ANTM,PCP,SYK,CME,AEP,MMC,YUM,CME,SCHW,TRV,EBAY,ICE,MMC,TRV,DE,BSX,HAL,KMB,PSX,NSC,PSX,MMC,HAL,CCI,USD,NSC,CI,PX,CTSH,COF,PLD,AEP,ECL,PGR,CTSH,AON,EQIX,COF,TGT,ITW,PGR,AON,HUM,COF,XTSLA,PGR,DG,SHW,BAX,PNC,PNC,LRCX,AON,NOC,PGR,DD,PGR,XTSLA,ETN,ILMN,NEM,F,EMR,NSC,NSC,HCA,FISV,FDX,ATVI,HCA,MRNA,ETN,HUM,OXY,F,APD,LRCX,ADM,PXD,DG,NSC,ATVI,VLO,EW,MCK,ORLY,ORLY,HCA,EMR,GD,USB,MCK
LYB,PPG,EMR,AEP,GD,AG4,AABA,GM,COV,CRM,ECL,COV,GIS,ADBE,ITW,CBS,XTSLA,AABA,MON,ETN,ADBE,SCHW,PCP,ADM,NOC,KR,GIS,KR,ACE,AVGO,EMR,WMB,PSA,HAL,HAL,FOXA,YUM,ITW,PX,YUM,EMR,CI,AEP,EBAY,PX,SPGI,YHOO,AMAT,REGN,EA,PSX,PSX,EMR,MMC,BBT,VRTX,CI,CI,D,ICE,HUM,SO,SO,EXC,EMR,CTSH,CTSH,AON,AEP,PRU,COF,WBA,ILMN,SLB,SHW,SLB,AIG,DD,EXC,EW,SCHW,SCHW,PGR,AON,MCO,ECL,MCO,EW,ETN,DG,ECL,AON,BSX,AON,NXPI,REGN,MCO,D,WM,BSX,D,ADSK,BSX,VRTX,ETN,HUM,BSX,ICE,KLAC,GM,EL,OXY,DG,MU,KLAC,KLAC,ORLY,FCX,FDX,XTSLA,HCA,MMM,ORLY,CMG,ORLY,MMM
MRO,DHR,BDX,KMI,JCI,ANTM,EXC,AG4,AG4,GD,AG4,8686,RTN1,GIS,JCI,ALXN,DUK,PXD,MAC,NSC,CSX,ETN,ADM,RTN,GIS,CSX,YUM,REGN,WMB,DAL,TRV,EMR,NOC,VLO,AVGO,YUM,BRCM,AEP,CME,KMI,CME,YHOO,TRV,EMR,YUM,ANTM,SYK,MMC,PX,PX,ISRG,ICE,EXC,MAR,NSC,EBAY,ZTS,MMC,BSX,ITW,TGT,ICE,GM,MET,CTSH,PSX,PGR,CTSH,AON,VRTX,WBA,EQIX,EXC,PGR,WM,EXC,EMR,KMB,EW,BAX,NSC,LHX,LHX,MCO,ROP,MCO,PNC,AEP,KMB,BSX,BSX,ETN,HUM,ETN,PGR,EMR,D,GM,MCO,D,FDX,FISV,AON,FISV,FISV,PSA,FCX,FISV,ICE,FIS,MPC,NSC,SHW,FCX,PXD,CDNS,FDX,KLAC,EW,FCX,MPC,FCX,PSX,ROP,FDX,ANET
KMI,SYY,BRCM,MCK,AABA,JCI,LYB,EXC,ECL,ECL,RTN1,CRM,YUM,APA,RTN,DAL,TROW,CBS,MET,TRV,TRV,RTN,YUM,HAL,YUM,JCI,WMB,NFLX,JCI,GIS,NOC,PCP,LYB,AVGO,EBAY,EMR,BDX,SCHW,PRU,DAL,KMI,COF,YHOO,ICE,CI,BBT,AMAT,CI,ESRX,BBT,VRTX,BSX,BBT,ICE,ICE,F,BBT,BBT,ICE,MMC,ICE,ZTS,ZTS,PGR,ECL,COF,AEP,PSX,MET,WBA,KMI,AMAT,ADI,EL,ILMN,COF,GM,AEP,SHW,LRCX,SHW,REGN,EL,BAX,BIIB,PNC,ILMN,ADI,AON,REGN,HUM,ECL,EMR,VRTX,ETN,XTSLA,REGN,MCO,APD,ILMN,XLNX,COF,FDX,FIS,HCA,ITW,ICE,ITW,DG,SHW,NSC,ORLY,GD,ATVI,SHW,ORLY,SHW,CCI,MCO,EW,MCO,MCK,PXD,EMR,MCO,ABNB
WMB,WAG,APD,GD,LYB,MRO,MRO,AABA,CSX,PXD,CRM,CTSH,PA9,CTSH,CTSH,-,IP,DAL,PVH,GIS,YUM,STT,LYB,LYB,NSC,NSC,ITW,GIS,ETN,ACE,VLO,NOC,TRV,ECL,CME,LYB,SCHW,REGN,BDX,TRV,YHOO,PX,PRU,PSA,SPGI,AEP,CI,YHOO,HAL,ESRX,EBAY,EXC,NSC,ISRG,F,TGT,VLO,MAR,CI,ZTS,PRU,AMAT,ITW,PLD,AON,ATVI,KMB,KMB,WM,ADI,FIS,HRS,COF,EOG,BAX,WM,WBA,EMR,BAX,SHW,NEM,ADSK,MCO,BIIB,XTSLA,BIIB,BIIB,GM,BSX,XTSLA,NEM,EW,ECL,ADI,AON,PGR,AON,WM,XTSLA,ATVI,ADSK,FCX,MRNA,HUM,SHW,F,NSC,GD,MRNA,ITW,MCK,ICE,EMR,MPC,ATVI,HCA,GD,FDX,F,HUM,USB,EMR,FCX,AJG,ROP,NXPI
CTSH,SYK,SRE,NSC,MRO,KMI,ANTM,ANTM,PXD,ADM,SWG,SWG,STT,RTN1,ADBE,SCHW,PSX,CRM,DD,ADM,RTN,GIS,JCI,STT,MU,SCHW,RTN,JCI,GIS,JCI,RTN,TRV,APC,CME,EMR,VRTX,CME,MMC,YHOO,EXC,CI,BSX,PX,CI,PSA,PSA,PX,CTSH,PSX,JCI,NSC,JCI,MAR,USD,MMC,INTU,PSX,NSC,BBT,CI,MMC,MMC,ICE,CTSH,KMB,MU,AMAT,AEP,MPC,DOW,AFL,ADI,AEP,SHW,EL,ILMN,AEP,GM,SRE,HUM,DLR,AEP,AEP,EW,EL,AON,WM,ILMN,NEM,AON,COF,EMR,EW,ECL,EMR,HUM,IDXX,APD,EMR,DXCM,HCA,HCA,KLAC,EMR,ITW,GM,GM,SLB,SNPS,ETN,SHW,SHW,MCK,PXD,VLO,SHW,PNC,GIS,GIS,MMM,MCK,PXD,ROP,TGT,GD,APH
LOM,MX4A,ALXN,PEAK,NSC,AET,CSX,CSX,EXC,NBL,CTSH,A60,CTSH,SWG,ALXN,BHI,PLD,TRV,CSC,ANTM,STT,PCP,RTN,ETN,EXC,ETN,CI,ITW,CSX,DE,PX,RTN,HAL,PX,PX,CME,KMI,PRU,MMC,YHOO,FOXA,PCG,REGN,ANTM,TRV,EXC,CSX,CSX,BSX,HUM,BBT,NSC,AEP,VLO,VRTX,HAL,STZ,ZTS,PRU,EXC,ZTS,ITW,PLD,ITW,PSX,APD,AIG,APD,PSX,AEP,TRV,EMR,PSX,BIIB,VRTX,EMR,LHX,EL,ATVI,ADSK,RTN,AON,WM,EL,BAX,ROP,ADI,AON,ILMN,NEM,DG,PGR,AON,FCX,GPN,NXPI,WM,NXPI,F,HUM,ECL,BSX,WM,WM,PSA,DG,ETN,ETN,FDX,MPC,GD,F,F,KLAC,HCA,NSC,EW,PNC,PXD,MCO,PNC,PH,VLO,PSX,ANET,PH
ISRG,PCLN,PCAR,AABA,KMI,AABA,TFC,WMB,ANTM,AG4,A60,CSX,8686,PA9,NSC,VLO,VTR,BHI,SBUX,JCI,ECL,YUM,CTSH,JCI,JCI,RTN,REGN,ETN,ADM,CSX,VRTX,VRTX,VLO,PCP,PCP,ICE,EMR,YUM,ALXN,ALXN,ICE,PRU,CI,SPGI,ANTM,AMAT,CTSH,ICE,JCI,KMI,JCI,STZ,INTU,STZ,VLO,KHC,ESRX,HUM,MMC,ILMN,EXC,PLD,PRU,PRU,BBT,PGR,COF,WM,EW,AMAT,AGN,PRU,VRTX,MET,EOG,ATVI,WM,SPG,HUM,EXC,WM,ADI,ADI,WM,DLR,BAX,SCHW,MCO,NOC,EMR,EMR,HUM,KLAC,NOC,HCA,GPN,GPN,IDXX,NOC,FISV,FCX,NXPI,HCA,SLB,EMR,SLB,KLAC,PXD,APD,DG,SRE,ATVI,ORLY,MCK,MCK,VLO,GM,PXD,MPC,GM,NSC,ROP,NXPI,ABNB,PH,FDX
CSX,INTU,DHR,JCI,WMB,TFC,ECL,RTN1,RTN1,NSC,CSX,RTN1,SWG,8686,STT,EXC,WM,GIS,NWL,YUM,GIS,JCI,STT,GIS,REGN,NOC,JCI,TRV,ALXN,VLO,AVGO,PX,SYK,EBAY,VRTX,ECL,AEP,PX,FOXA,AEP,AEP,ECL,BSX,AMAT,AMAT,DAL,ICE,PX,DAL,ISRG,AON,EBAY,VLO,BBT,KMB,NSC,KMB,STZ,ZTS,HUM,KMB,EXC,EXC,ECL,PRU,WM,TGT,COF,KMI,CTSH,PRU,AFL,WBA,BAX,BIIB,MPC,EL,ATVI,AIG,COF,EXC,MCO,SCHW,ROP,AEP,WM,ROP,DD,DD,ETN,ETN,FCX,TWTR,EMR,F,TWTR,NXPI,XTSLA,FDX,EMR,DXCM,PGR,EXC,GD,SLB,GD,APD,CNC,CNC,SLB,GM,EQIX,ADM,ORLY,SNPS,GD,GIS,AZO,FCX,NXPI,GM,CMG,MMM,MMM,PSX,LULU
CRM,PPL,HCN,PSA,DC7,CSX,SWG,MRO,WMB,A60,ANTM,NSC,NSC,ECL,TRV,RTN,EMR,NSC,HAL,VIAB,ITW,EXC,SCHW,CTSH,RTN,WMB,CSX,CI,ITW,STT,YHOO,VLO,PX,AAL,ECL,EBAY,ITW,EXC,HAL,CME,HPE,ICE,EBAY,ECL,APD,TRV,TRV,PSA,EA,PSX,KMI,MAR,HUM,INTU,TRV,USD,NSC,BSX,MAR,TGT,BBT,PRU,MMC,VLO,HCA,AON,PRU,PRU,ADI,WM,BK,KMI,EQIX,ILMN,COF,WBA,EXC,AIG,EMR,EL,EL,DLR,ROP,AEP,WM,USD,DD,WM,WM,NOC,AON,KLAC,WM,WM,NOC,NOC,TWTR,PGR,IDXX,FDX,PGR,HUM,MCO,PXD,PXD,EMR,FDX,MRNA,EMR,MCK,SNPS,EMR,FCX,D,EMR,USD,USB,MCK,CCI,NSC,CMG,NXPI,XTSLA,FCX,MMM,GD
