2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
4XS,ESRX,DOW,LOW,CVS,ANTM,GILD,CHTR,PLD,GILD,BLK
DOW,COST,COP,BIIB,MS,UPS,UPS,ISRG,IBM,BA,UPS
HPQ,MET,LMT,CB,AXP,CME,CAT,GE,C,PLD,ELV
ACN,SBUX,TMO,MS,TWX,AXP,MDLZ,BKNG,ZTS,AMD,MDT
COST,MDLZ,TXN,MET,CRM,GE,ANTM,GS,SPGI,MDT,SBUX
LOW,EMC,DHR,EOG,PNC,LMT,CI,CVS,TGT,CI,AXP
EMC,PCLN,F,CL,CB,DHR,CHTR,TGT,ANTM,AMT,DE
LLY,F,MET,NVDA,BIIB,DUK,TFC,FIS,CAT,ADP,TJX
WAG,CL,TWC,AXP,CL,BIIB,TJX,LMT,BA,ISRG,VRTX
EMR,MS,TWX,PNC,COP,BDX,ADP,DE,MU,CB,BMY
DUK,DUK,OXY,ABT,CHTR,CB,BDX,MU,GE,TJX,LRCX
TXN,MON,EMC,SPG,MDLZ,MDLZ,GS,MDLZ,ADP,GE,SCHW
SPG,SPG,DUK,NEE,BLK,GS,CME,TJX,AXP,MDLZ,CVS
GM,TXN,CRM,TMO,WBA,ADP,COP,SYK,MMM,AXP,AMT
DHR,ACN,NFLX,OXY,EOG,TJX,CB,ANTM,LRCX,C,SYK
PSX,CAT,PNC,CAT,FDX,WBA,PNC,SPGI,BKNG,ADI,GILD
EOG,DHR,GM,DUK,SCHW,ISRG,ISRG,SCHW,DE,AMAT,ADI
TJX,LMT,MS,NFLX,AMT,PNC,INTU,AXP,COP,TMUS,LMT
COF,DOW,NEE,KHC,DUK,SPG,D,AMAT,ADI,MMC,C
MS,EOG,TJX,ADBE,AET,MS,SYK,TMUS,MDLZ,SYK,MDLZ
HAL,TMO,ADBE,BK,ANTM,CL,SO,ZTS,GILD,MO,ETN
FDX,TGT,KMB,GD,DHR,INTU,SPGI,MO,TJX,PYPL,ADP
PRU,MCK,MCK,TJX,BDX,FOXA,DUK,ADP,CCI,DUK,BX
PNC,PNC,BK,GM,GD,EOG,FISV,CI,SYK,NOW,REGN
TMO,TJX,TGT,SO,OXY,CHTR,TGT,PLD,MRNA,SO,MU
BLK,GM,MON,D,BK,SLB,ZTS,CL,MMC,NOC,MMC
BK,NEE,KHC,SCHW,AMAT,SCHW,BSX,GILD,LMT,BKNG,PGR
LOM,COV,BLK,DHR,AGN,CSX,MS,BDX,MO,REGN,PANW
TGT,COF,ALXN,F,RTN,BSX,AGN,ATVI,EL,PGR,CB
AAZ,FDX,SO,HAL,AIG,SYK,RTN,CB,GM,EOG,ZTS
KMB,BK,REGN,ADP,NOC,DE,MU,CSX,SHW,SLB,CI
FCX,BLK,AMT,RAI,SPG,BLK,BLK,CCI,PNC,VRTX,BSX
PCP,D,GD,BLK,MET,D,CCI,LRCX,CSX,BDX,TMUS
ADP,YHOO,KR,MON,GM,OXY,CL,DUK,CB,APD,FI
PX,SO,D,FDX,D,SO,MMC,ADSK,CME,ZTS,KLAC
T3W1,DTV,PYPL,AMT,ADP,CCI,AMAT,FISV,F,TGT,SNPS
AABA,GD,DAL,PRU,ITW,CELG,PLD,CME,DUK,MMM,SO
BAX,KMB,CAT,PYPL,MON,ILMN,VRTX,SO,EW,BSX,EQIX
D,EMR,SCHW,CRM,CI,GM,CSX,ICE,CHTR,CL,CME
MCK,TWC,FDX,AET,DE,GD,SLB,TFC,TFC,CSX,DUK
NEE,APC,ADP,ESRX,SYK,RTN,GPN,GPN,ICE,HUM,SLB
SO,PRU,EOG,COF,CME,EXC,DE,USB,EQIX,FISV,CDNS
ETN,DAL,PSX,RTN,CSX,ICE,SCHW,EQIX,CI,PNC,SHW
CBS,ADP,COF,NOC,F,BK,NOC,PNC,USB,AON,ICE
VIAB,BAX,RAI,KMB,PRU,NOC,BIIB,FDX,SO,ETN,ITW
CB,PSX,AVGO,TGT,TJX,SPGI,NOW,VRTX,NSC,ITW,MO
JCI,AMT,ACE,KMI,SO,VRTX,ITW,D,BDX,EQIX,EOG
LYB,ACE,AET,CME,COF,AGN,APD,NSC,CL,CME,BDX
DE,PX,CI,APC,ATVI,ZTS,ICE,APD,ITW,CCI,CSX
ITW,MU,RTN,JCI,MU,MPC,AMD,EL,ETN,WM,PYPL
APA,KRFT,PRU,ITW,KHC,NSC,NSC,SHW,TMUS,MRNA,USB
NOV,ALXN,CTSH,HPE,CCI,MET,EQIX,MMC,APD,USB,NOC
DTV,CSX,PSA,PSX,EMR,MMC,PSX,ITW,REGN,ICE,TGT
YUM,TRV,ANTM,BBT,PX,KMB,ILMN,PGR,FIS,EL,WM
AG4,CRM,GIS,ANTM,PSX,HUM,EOG,EW,AON,NSC,CL
PA9,SCHW,NOC,SYK,SPGI,FDX,EW,ADI,KLAC,LRCX,CMG
STT,ADBE,TRV,GIS,HAL,ITW,AON,HUM,WM,TFC,PNC
KRFT,PCP,VLO,DAL,KMB,ECL,HUM,ILMN,D,EMR,FCX
GD,ITW,BDX,EMR,ESRX,EMR,ECL,ECL,XTSLA,SHW,MCO
GIS,ANTM,BRCM,BDX,CTSH,PLD,SHW,GM,MCO,GD,APD
AMT,NSC,PCP,TRV,NSC,AEP,COF,DD,FDX,DG,MCK
COV,ADM,FOXA,AMAT,MMC,CTSH,DD,DG,ADSK,MU,MMM
8686,RTN,YUM,MMC,MAR,PSX,KMB,BSX,FISV,FCX,ANET
CRM,HAL,EMR,CI,ICE,COF,AEP,REGN,COF,ATVI,ABNB
CTSH,LYB,LYB,YHOO,ISRG,ATVI,EMR,XTSLA,FCX,MPC,NXPI
SWG,STT,VRTX,CTSH,USD,MU,GM,AON,HCA,PXD,APH
A60,ETN,CME,CSX,VLO,APD,EL,NEM,BSX,KLAC,PH
CSX,JCI,ICE,ICE,STZ,PGR,SPG,EMR,NXPI,MCK,FDX
RTN1,GIS,ECL,PX,BBT,WM,ATVI,ETN,PGR,ORLY,LULU
NSC,CTSH,EBAY,PSA,INTU,AON,AIG,NOC,HUM,D,GD
ADM,YUM,ITW,EXC,VRTX,AFL,WM,MCO,ILMN,ADM,PSX
ECL,EXC,CB,KR,EXC,TGT,EXC,KMB,ECL,HCA,ROP
ADBE,PPG,EQR,MCK,ALL,AIG,WBA,WM,JCI,GIS,AON
MPN,DE,BBT,NSC,TRV,FIS,ADI,COF,NOC,AEP,HUM
ANTM,KR,CAH,APD,DAL,PRU,LHX,ROP,PSA,SNPS,TDG
VLO,AET,SYK,CCI,EBAY,BBT,SYY,CTSH,EXC,PSX,MPC
PPG,MMC,PX,BLKFDS,FOXA,HCA,BAX,ROST,SNPS,SRE,TT
DC7,REGN,HAL,VLO,STT,BAX,SRE,HCA,IDXX,VLO,ORLY
MMC,AMAT,MMC,EBAY,AEP,HPQ,LRCX,TWTR,VRTX,MET,EMR
WMB,WMB,YHOO,AEP,LUV,SHW,PGR,IDXX,EMR,GM,MAR
TFC,NOC,CCI,PCG,APD,AMAT,BK,COP,DG,AIG,HCA
PXD,AEP,AEP,ECL,LYB,EW,ROST,EA,IQV,XTSLA,NSC
ALXN,DFS,ILMN,LUV,HUM,ADI,GD,AEP,INFO,AZO,PXD
ICE,ALL,LUV,PXD,TGT,VLO,KMI,EXC,APH,EW,ADSK
GLW,GLW,MPC,HUM,EQIX,TRV,MAR,DOW,TEL,ROP,CTAS
NTH,LUV,HPE,ETN,JCI,RHT,DOW,BAX,XLNX,KMB,XTSLA
AON,VRTX,KMI,DE,ZTS,ROST,ADSK,TEL,SPG,CNC,MSI
AET,ECL,STT,FOXA,HPQ,DAL,MET,KLAC,DXCM,APH,PCAR
ALL,NOV,AAL,BSX,ECL,MAR,DG,LHX,EOG,F,ECL
MX4A,SYK,MHFI,AON,ETN,PSA,HCA,SNPS,ROP,OXY,WELL
MRO,CME,PPG,WM,KMI,SYY,ETN,APH,ATVI,A,CCI
CMI,BBT,HUM,SE,AFL,F,MPC,DLR,CDNS,PSA,COF
