2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FTI,BLKFDS,LNC,FAST,CMA,AJG,K,GWW,MKC,HPE,PHM
XLNX,NI,DVN,WHR,NWL,HCP,HES,XYL,URI,HBAN,NVR
WHR,ESS,PFG,LH,TAP,AAL,PEAK,AMCR,VFC,PWR,HPE
BFB,DVA,ETR,BLL,FOX,CAH,EFX,DOV,LYB,CAH,STE
KEY,RHT,COL,FOX,VRSK,EXPE,NUE,VTR,HIG,EQR,ES
CLX,FAST,CAM,XRAY,NTAP,CTXS,MGM,EXPE,USD,RF,EQR
CTXS,AME,XLNX,ADS,ABC,VMC,CHD,GRMN,STX,XYL,DOV
DLTR,NTAP,MHK,FE,TXT,MSCI,DOV,MLM,DTE,EXR,ETR
DTE,LRCX,VRSK,ETR,LB,GWW,BKR,HIG,WAT,CHD,RJF
STZ,L,FAST,RSG,IVZ,SNPS,CAG,COO,ESS,LUV,HWM
NLSN,BWA,NWL,TXT,HST,CBRE,WCG,BR,EXPD,PFG,TDY
NEM,BCR,FOX,ABC,MSI,HBAN,RF,TYL,AEE,MOH,PTC
SLM,PNR,WRK,MJN,EXPE,LH,MXIM,CAG,ETR,CFG,IFF
KSS,KSS,GWW,CTL,GGP,COO,LH,CMS,FE,CTRA,BLDR
MUR,COG,HOT,L,ETR,DRI,COO,CTLT,POOL,AES,MOH
JNPR,CFN,XL,XEC,URI,PCG,CINF,WDC,PPL,CNP,IRM
AA,WYNN,HES,AWK,MRO,L,INCY,AKAM,GWW,DOV,VTR
ADSK,KEY,CTXS,WRK,AEE,BBY,LEN,OKE,HBAN,EPAM,EXPE
ETR,TIF,DVA,DGX,IQV,ARE,FTNT,HAL,BBY,HOLX,FLT
SIAL,WEC,HBI,HRS,BEN,HST,HBAN,IR,CTLT,VRSN,ARE
DVA,TAP,HST,AEE,NBL,CDNS,GPC,URI,ULTA,TDY,PPL
BEAM,DOV,USD,GWW,SJM,MGM,EXPE,FE,GNRC,NTRS,INVH
PVH,AMG,TXT,MHK,EFX,SYMC,KSU,TSCO,TYL,CMS,NDAQ
MAR,TSN,WHR,VRSK,ALB,CE,WAT,CCL,TRMB,STE,DRI
FLS,MAC,TSCO,TDG,CBOE,XYL,MAA,INCY,XYL,CAG,GRMN
CA,TXT,WFM,AAP,EQT,MRO,FANG,STE,DGX,K,ALGN
BBY,SPLS,SLG,RHT,GPC,DHI,CE,ULTA,KEY,WAB,BAX
SJM,KLAC,CHD,IVZ,L,ANSS,EVRG,MTB,MPWR,MAA,WAT
GGP,MNK,AAP,KLAC,MLM,WCG,CAH,DGX,BR,VTR,GPC
KLAC,EQT,KEY,HSIC,MAS,HSIC,GWW,PEAK,CLX,PKI,CTRA
LLTC,XLNX,MSI,VIAB,FTI,HRL,NLOK,KEY,RF,AMCR,LH
CCE,BBY,M,KMX,FE,SWKS,DGX,CTXS,BKR,TSN,TRGP
RHT,UA,WAT,OKE,IDXX,TTWO,MKTX,EXPD,COO,DGX,WBA
RL,EMN,STX,COL,NOV,CINF,ULTA,NUE,KMX,WST,AEE
KMX,ALTR,KIM,PRGO,BHGE,IT,PFG,VAR,NTAP,CLX,FE
SPLS,GPS,KMX,LLL,WYNN,ABC,HOLX,ANET,GRMN,INVH,CCL
ALTR,COL,UHS,CPB,CTAS,EXR,KMX,K,TDY,IEX,COO
BCR,AKAM,MAC,CMA,BFB,KEYS,TIF,PKI,HAL,DRI,CBOE
GPS,RL,KLAC,DOV,VNO,EXPD,NTAP,CAH,VTR,MRO,HBAN
TXT,AEE,HRS,CMS,ETFC,CHRW,XYL,ALB,TECH,SJM,EXPD
NI,JWN,L,BBY,DGX,NRG,BR,AES,DPZ,CF,FSLR
TIF,SRCL,HRL,CHD,EMN,PFG,TTWO,RF,WDC,EXPD,NTAP
FMC,CHRW,RSG,AKAM,CMS,LEN,GRMN,ESS,TTWO,TRGP,ENPH
COL,FTI,DHI,CINF,COG,AAP,WAB,DRI,HPE,OMC,VRSN
SRCL,LLTC,AEE,HOLX,BLL,BR,EXR,CE,HES,STLD,BALL
CNP,PLL,GMCR,EQT,TSS,DGX,ZBRA,KMX,CZR,COO,AXON
DPS,LLL,CCE,STX,TDG,INCY,AKAM,HPE,PAYC,CINF,VLTO
WYND,TSCO,SRCL,MAA,CBG,EFX,STX,WAT,CFG,BBY,RF
AES,WYN,DGX,AME,LEN,ETFC,IFF,CFG,MTB,KEY,SWKS
WU,PVH,LLTC,SLG,ULTA,CBOE,CTXS,DPZ,GPC,BALL,FDS
NEBLQ,MAT,XRX,ALK,SNPS,ANET,IT,NDAQ,PEAK,BR,LVS
LLL,OKE,BF.B,EMN,FMC,TXT,UDR,IEX,ABC,ATO,STLD
SNI,HSP,CBG,MTD,HES,BHGE,MAS,POOL,SBNY,TTWO,CNP
PLL,NVDA,EMN,M,CTXS,CMA,HAS,FMC,NVR,MPWR,AKAM
WEC,COH,CMS,COG,LKQ,MAA,ATO,DRE,DRI,FMC,CLX
NWL,KIM,SNA,WAT,TPR,UDR,DRI,EXR,CRL,SEDG,TYL
NRG,NWL,MKC,CMG,ANSS,HOLX,CBOE,NTAP,HOLX,FDS,HUBB
NVDA,SJM,BLL,KIM,ARE,KMX,CNP,ABMD,RJF,LVS,NTRS
MNST,CTXS,SIG,GPN,CHD,LNC,L,BFB,AKAM,J,ALB
TRIP,URI,JNPR,JNPR,CHRW,KSS,WYNN,OXY,CMS,ETSY,LUV
UUM,RSG,BWA,CNP,CNP,LW,NVR,MAA,IP,ALGN,HOLX
MKC,CHK,TRIP,MKC,GWW,VNO,QRVO,GPC,AMCR,PAYC,PFG
EXPD,UHS,IFF,SCG,NLSN,SJM,IEX,TDY,VIAC,WRB,EPAM
MHK,CNP,MAS,WU,UNM,CMG,AES,HES,IEX,TXT,ATO
TSN,CAM,NEM,AYI,HCP,MLM,LNT,ABC,FDS,SYF,OMC
HP,CCE,CF,FRT,ADS,WDC,FMC,BKR,BBWI,MOS,WDC
XL,CA,DOV,CHRW,WHR,TAP,SIVB,NVR,FLT,APA,MKC
NWSA,EFX,IPG,MOS,XYL,DVN,HST,MAS,CE,FSLR,CMS
RSG,DGX,MCHP,MAS,MKC,MOS,EXPD,IT,FANG,INCY,TER
LUK,SWN,CPB,HOG,STX,CAG,FOXA,TIF,J,AVY,STX
TAP,MHK,AKAM,TSO,IFF,DOV,STE,LDOS,AVY,JBHT,BRO
MCHP,FFIV,LLL,DVA,RMD,TSCO,LDOS,RCL,PFG,SWKS,JBHT
CHRW,MKC,MOS,UNM,DRI,FTNT,VAR,J,CNP,EVRG,IEX
LRCX,CBG,MAT,CTAS,WYN,SIVB,DRE,STX,UDR,IRM,J
JWN,CMS,COH,XL,KMX,VAR,CTL,OMC,MGM,HWM,JBL
AEE,FLR,BBY,CA,CDNS,EMN,LW,EMN,RCL,LDOS,AVY
CNX,NEM,WU,COH,HOLX,FMC,ABC,BXP,WAB,GRMN,ESS
CMA,WAT,KSS,TSCO,PNR,LNT,HRL,SJM,MAS,LNT,CINF
WAT,TSO,MLM,SNA,XEC,HES,URI,CINF,QRVO,NVR,EQT
AKAM,WU,ARG,WFM,EXPD,NOV,NCLH,HRL,TXT,ESS,MAA
CFN,BLL,PNR,UDR,MAA,CF,XRAY,WAB,JBHT,SIVB,SYF
EFX,HRB,CHRW,EXR,ARNC,FFIV,J,AVY,CINF,LKQ,TXT
J,XEC,CA,ALB,RJF,REG,ARNC,LNT,VTRS,FLT,CE
MAC,DISCK,HBAN,CNC,AMG,TPR,NDAQ,PKG,CAG,TER,LW
PCL,LH,SEE,NTAP,PRGO,JKHY,BFB,UAL,BXP,CBOE,CFG
CSC,NRG,GT,CBG,AJG,AKAM,SJM,HBAN,ABMD,TYL,POOL
VAR,MCHP,LEN,FL,PKG,STX,NBL,BIO,AES,BRO,DGX
MAS,AES,CINF,MAT,IT,UHS,ODFL,MGM,BRO,PEAK,PODD
ADT,RRC,HOG,PNR,CINF,CPRT,LNC,EVRG,PWR,VTRS,TSN
KIM,MAS,ETFC,ETFC,DVA,APA,ALLE,PFG,LYV,AKAM,EG
SWY,SEE,MNK,LKQ,HSIC,WRK,UHS,CHRW,CCL,ZBRA,SNA
HBAN,XL,SCG,AJG,AKAM,KSU,JKHY,JKHY,EMN,TECH,CF
LH,NAVI,AMG,EXPD,VIAB,PNW,RE,ATO,K,HRL,BBY
HRB,CSC,VRSN,HRL,DISH,WYNN,WRK,HAS,EVRG,RE,SWK
DGX,UNM,MRO,FFIV,EXR,COG,AAP,NLOK,BIO,EXPE,MAS
CPB,IPG,XRAY,UHS,KSU,RJF,MRO,CNP,MKTX,KIM,LDOS
TSO,VMC,TIF,IFF,JNPR,AES,RJF,FBHS,OMC,IPG,BG
VMC,VAR,XEC,DHI,COO,NCLH,WU,XRAY,LKQ,NTAP,K
CINF,SCG,WYN,IPG,PVH,JNPR,AAL,RJF,CTRA,JKHY,PKG
VRSN,EXPD,TSS,KSU,FBHS,DRE,TSCO,WRK,TFX,NDSN,DPZ
GNW,JNPR,EXPD,DRI,TIF,IRM,PKI,IFF,CF,PTC,WRB
PETM,HBAN,PCL,URI,IRM,HAS,ANET,PHM,LNT,LW,NDSN
BLL,MUR,KSU,XYL,CA,M,PKG,CXO,IRM,TRMB,MRO
AVP,EXPE,UNM,SEE,UDR,NI,VNO,TXT,AAP,EQT,ZBRA
HRS,CMA,BBBY,KSS,HAS,NDAQ,LKQ,LW,FFIV,UAL,AMCR
TDC,DHI,CTAS,PNW,VAR,VIAB,AVY,JBHT,SJM,DPZ,HST
ARG,TRIP,EQT,ZION,REG,RE,NI,WHR,IPG,IP,UAL
IPG,IFF,CNP,LNT,BWA,PKI,CF,UDR,KIM,GEN,RVTY
CBRE,FLS,HRB,HAS,AVY,MAS,REG,HWM,NLOK,SNA,CAG
EW,SWY,VAR,MAC,ZION,BEN,EMN,FFIV,SEDG,BFB,KEY
EXPE,PETM,FCX,COO,SNA,NBL,MYL,WYNN,MOS,CPT,KIM
CMS,LEN,CPGX,COTY,SLG,FRT,CMA,ALLE,CDAY,POOL,SJM
DRI,SNA,NTAP,LEN,UHS,TIF,CHRW,AAP,PHM,UDR,TRMB
EA,RHI,GAS,VAR,CF,XRAY,TAP,UHS,CAH,PKG,LYV
TMK,CPB,HAS,HP,LNT,FTI,GL,L,UAL,TFX,LNT
FFIV,GT,CMA,JBHT,TMK,HII,DISCK,LYV,FBHS,L,VTRS
PHM,NWSA,KORS,FBHS,JBHT,DISCK,JBHT,HST,CBOE,MTCH,AES
IFF,CNX,DRI,WYN,VRSN,URI,HII,CBOE,WHR,CRL,GEN
XRAY,DRI,COG,BF.B,FRT,ALB,LYV,LUMN,INCY,CPB,LKQ
HSP,ARG,QRVO,HBI,HRL,NLSN,DVN,FOXA,HRL,NI,L
PWR,SNI,PNW,TIF,DRE,HFC,ETFC,PWR,FMC,HST,IPG
TGNA,CINF,CVC,ARNC,PNW,SNA,WRB,LKQ,ATO,SWK,IP
SEE,CTAS,FFIV,TSS,COTY,JBHT,TXT,AAL,CHRW,RCL,TECH
LEN,FDO,JWN,TMK,KORS,NWL,PHM,CPB,HAS,HSIC,KMX
SCG,FMC,URI,FTI,TSCO,PKG,APA,HSIC,BFB,GL,MGM
MWV,PNW,FLR,AMG,NCLH,IPG,NOV,NRG,PKG,CHRW,ROL
XYL,PCL,NDAQ,IRM,CPB,BFB,PNW,IPG,PTC,MKTX,CRL
DHI,XRAY,HAR,GT,KSS,AVY,NRG,BWA,MRO,MAS,PNR
SNA,HRS,JBHT,NFX,MOS,ZION,HSIC,SNA,LVS,MGM,EVRG
HAS,MWV,FTI,BWA,RE,ALLE,WHR,WRB,LDOS,PHM,JKHY
FDO,HAR,POM,HAR,XL,GRMN,DXC,LNC,WRK,JNPR,MOS
JOY,HP,TMK,AES,AOS,LKQ,SNA,RE,CTXS,CE,TFX
HRL,GCI,RL,NDAQ,NDAQ,QRVO,DISH,GL,HST,STX,UDR
DEN,IRM,XYL,FMC,ALK,TMK,IRM,NI,RHI,WDC,NRG
LSI,PHM,DISCK,LUK,PHM,WU,FRT,WU,AAL,LYV,INCY
CTAS,LUK,AES,XRX,SEE,ARNC,BWA,PNW,JKHY,EMN,TAP
GT,ESV,ALLE,EVHC,NI,ALK,FBHS,IRM,REG,CDAY,MKTX
OI,ETFC,TE,CF,WU,BWA,ZION,MHK,HWM,TAP,ALLE
FOSL,HRL,RHI,FLR,HOG,MHK,FTI,DVA,XRAY,KMX,REG
PNW,TMK,AIV,NI,NRG,IVZ,IPG,PNR,ALLE,REG,QRVO
RHI,XYL,NI,AIV,AMD,ADS,KIM,ROL,PNR,BXP,APA
GME,MLM,PVH,PVH,QRVO,JEC,FFIV,LB,JNPR,BBWI,PEAK
GRMN,POM,SPLS,KORS,LUK,AIV,CPB,TAP,WRB,BWA,NI
ETFC,FTR,PKI,VRSN,FFIV,PVH,MHK,CF,AOS,ALLE,WRK
GAS,TDC,LUK,WYNN,SNI,SCG,JNPR,TPR,LNC,FOXA,EMN
TSS,GAS,HP,SNI,PKI,RHI,ALK,AIZ,LUMN,HII,FFIV
HAR,GRMN,AVY,JEC,JEC,WHR,ALB,IPGP,FOXA,QRVO,CPT
ZION,ADT,LEG,QRVO,GT,PHM,PVH,NWL,CMA,BIO,CDAY
QEP,RIG,PHM,SIG,IPG,SLG,PNR,MOS,L,TPR,BFB
BTU,TEG,TGNA,SRCL,M,UNM,KSS,NCLH,SNA,VFC,GL
IRM,HAS,GPS,LEG,KIM,CPB,AIV,DISH,RE,UHS,BXP
AVY,VRSN,WYNN,RRC,ALLE,DVA,AIZ,DISCK,HSIC,WRK,CZR
AIZ,PWR,ZION,FLS,HBI,KIM,PBCT,CMA,BWA,CZR,HII
PBCT,LEG,FLS,AVY,AAP,FL,ABMD,FANG,NRG,AAP,PAYC
POM,JEC,FTR,RHI,AYI,PNR,HFC,AOS,TPR,CMA,CHRW
WIN,ZION,ADT,ALLE,GPS,XEC,SLG,JNPR,NI,PNW,AOS
PBI,NDAQ,AIZ,BBBY,FLR,FLIR,MOS,SEE,SEE,FFIV,MTCH
DNB,TSS,NFX,PBCT,AES,AOS,TPR,NLSN,MHK,ROL,HSIC
FTR,AIV,FMC,SPLS,CMG,DISH,NWL,RHI,APA,PARA,BBWI
PKI,LM,SNI,DISCK,MAC,NKTR,PRGO,REG,FRT,WYNN,ETSY
LM,ALLE,IRM,RIG,HP,RL,NLSN,BEN,ZION,IVZ,JNPR
NDAQ,DISCA,OKE,PKI,RHI,TRIP,RHI,ZION,LW,AAL,NWSA
IGT,THC,JEC,JWN,AIV,KORS,BEN,NWSA,UHS,CTLT,RHI
HCBK,FOSL,NWSA,PHM,GRMN,LB,COG,IVZ,WYNN,CCL,UHS
NBR,WIN,FSLR,GRMN,FLIR,PBCT,FLIR,HII,BEN,RHI,HRL
RDC,PKI,PBCT,UAA,PBCT,HOG,LEG,ALK,CPB,HAS,AAL
LEG,R,AN,TRIP,LEG,USD,XRX,KIM,NWSA,WHR,WYNN
TEG,PBI,GRMN,AIZ,NFX,SEE,IVZ,PVH,AIZ,BEN,NCLH
USX1,HCBK,RIG,PWR,XRX,FBHS,DVA,COG,GL,FRT,AIZ
FLIR,TE,LM,CHK,NWSA,GPS,FLS,DXC,PENN,NRG,TPR
BMS,AIZ,RRC,MNK,PWR,ROL,SEE,DVN,NWL,PNR,BEN
THC1,AVY,NAVI,SWN,FL,HRB,AOS,FRT,DISH,ZION,BWA
WPX,PBCT,CSRA,RL,RL,JWN,PWR,PRGO,TAP,AOS,CPB
URBN,JOY,PBI,MUR,SRCL,HP,RL,LEG,DXC,SBNY,CTLT
CLF,FLIR,DISCA,HRB,SCG,PRGO,UNM,FLIR,PNW,SEE,PNW
DOFSQ,CVC,FLIR,NAVI,BHF,AMG,HOG,VNO,ROL,OGN,IVZ
ALLE,AN,PDCO,GPS,JWN,JEF,FOX,NOV,PBCT,NWSA,GNRC
R,OI,DNB,FLIR,AIZ,FLS,NWSA,HBI,NCLH,XRAY,FMC
FSLR,DNB,NRG,UA,FLS,GT,CPRI,PBCT,HII,AIZ,FRT
ATI,GNW,MUR,DNB,HRB,MAC,HBI,APA,IVZ,GNRC,XRAY
CVC,NE,ESV,TGNA,MAT,LEG,M,MRO,DVA,DXC,CMA
AIV,PDCO,TDC,CSRA,CSRA,AIZ,DISCA,DISCA,OGN,ALK,FOXA
TE,AVP,PWR,NWSA,DISCK,FLR,XEC,UNM,PVH,MHK,PARA
PDCO,ATI,R,DISCA,EVHC,HBI,IPGP,RL,NLSN,NCLH,BIO
NFX,NBR,THC,R,RRC,PWR,HP,VNT,DISCK,LUMN,WHR
JBL,NFX,GME,FTR,TRIP,NWSA,ROL,FLS,VNO,NWL,HAS
AN,GME,OI,NRG,CHK,XRX,HRB,SLG,ALK,UBFUT,ZION
GHC,URBN,SWN,TDC,NAVI,IPGP,LB,GPS,IPGP,LNC,VFC
,FSLR,CHK,PDCO,DISCA,DISCA,ADS,UBFUT,RL,RL,RL
,QEP,URBN,ENDP,SIG,BHF,JWN,FOX,FOX,DVA,DVA
,DNR,CNX,AN,PDCO,MAT,UAA,FTI,UBFUT,FOX,MHK
,DO,FOSL,PBI,UAA,UAA,UA,HFC,DISCA,DISH,SGAFT
,UBSFT,NWS,FSLR,UA,UA,GPS,XRX,UA,VNO,FOX
,ESH5,DO,URBN,NWS,COTY,COTY,UAA,UAA,NWS,NWS
,,UBFUT,UBFUT,UBFUT,NFX,UBFUT,UA,GPS,ESH3,ESH4
,,ESH6,NWS,ESH8,UBFUT,NWS,NWS,NWS,,
,,,ESH7,,NWS,ESH0,-,ESH2,,
